file,chorus_location
Audios/raw/WGMa6qh-qFY_SOLO VOY - M R F.wav,00:17
Audios/raw/Z5gvqq3ChII_Дома не сиди.wav,02:52.4
Audios/raw/TzhhbYS9EO4_Boubkeur ... Huz Huz  ( Audio Officiel ).wav,02:40
Audios/raw/RhBb77hG0iw_Nerga3 Tany - Hamoot Wa Arga3 _ Tamer Hosny - نرجع تاني - هموت و ارجع.wav,02:40.8
Audios/raw/3ObVN3QQiZ8_Nancy Ajram - Oul Tani Keda (Official Music Video) _ نانسي عجرم - قول تاني كده.wav,03:25
Audios/raw/-_P_cD0yimw_JO1｜'Born To Be Wild' Official MV.wav,03:09.1
Audios/raw/n4HTXYR-2AI_Sadhguru - D Neutrons Music _ Turban Trap.wav,02:11
Audios/raw/o683V8-TAPQ_Opozit - X-oyu-L (Official VIDEO).wav,02:18.6
Audios/raw/7pcZIsJNlAs_Didine Canon 16 ft. Larbi Maestro - Tir Ellil طير الليل.wav,03:21.5
Audios/raw/C5VCGM2J5ls_وائل جسار - بحبك مش هقول تاني _ Wael Jassar - Ba7ebek Mesh Ha2oul Tany.wav,03:24.3
Audios/raw/hjIhCG_nIPA_MC G15 - Cara Bacana (Lyric Video) Jorgin Deejhay.wav,02:12
Audios/raw/Mme9REVuidw_Zouhair Bahaoui - Hasta Luego ft TiiwTiiw & CHK #DreamTiiw2k17.wav,02:24.8
Audios/raw/EygNk739nnY_MC Arthur - XJ6 (Love Funk) DJ GH.wav,02:14.4
Audios/raw/bd5m12UEHWI_Duo Anggrek - Goyang Nasi Padang (Official Music Video NAGASWARA) #goyangnasipdg.wav,02:50.9
Audios/raw/fadPaKn-xe8_Dime - Refill (VIDEOCLIP OFICIAL).wav,01:12.1
Audios/raw/2UL-1MOlSPw_Nativ - MVZ Vol. 2 - 07 Slick Rick (feat. Dawill).wav,01:31.9
Audios/raw/XJt-4KKCZBA_George X - Nahuati (PHCK Remix) [Sound Avenue].wav,02:09.2
Audios/raw/Tfypj4UwvvA_Going Deeper feat. Davis Mallory - Believe  _ #GANGSTERMUSIC.wav,02:14.3
Audios/raw/vhWoHF9-qfY_Parry Gripp - Nice Big Monster Truck [Official 4K Video].wav,00:21.65
Audios/raw/dpjUrLEgYKI_Justin Sane & Huz - Days With You (Official Music Video).wav,02:34.1
Audios/raw/0QN9KLFWn7I_Kozah - Paradox [NCS Release].wav,02:19.1
Audios/raw/dl6vG66m1e8_Ilkay Sencan & Mert Hakan - Let Me.wav,02:40.1
Audios/raw/btMBUL8_liA_La foudre.wav,02:08.8
Audios/raw/BEo0rqOZIng_Huz Kai - On & On (Official Music Video).wav,01:32
Audios/raw/xJt-wTjGkN8_[M_V] 도시 of 레인보우 페이퍼 (Dosi of Rainbow paper) - 겨울향기 (Memories of winter) (Official Music Video).wav,02:38.7
Audios/raw/YOKq1VmEbtc_GQ-I do love you.wav,02:34
Audios/raw/Et-YdmSo_3A_MC Magal e MC G15 - Menor Periferia (GR6 Filmes) DJ Guil Beats.wav,02:57.3
Audios/raw/xJt--P13x3s_04. Stiinte Oculte - Sa Cada Ploaia.wav,00:31.9
Audios/raw/nISI4qF55F4_T-Bone - Crazy Hispanic.wav,00:22.9
Audios/raw/8MAWFIM-2aI_Enamorado.wav,02:39.9
Audios/raw/DwgdKSKGMLQ_HUZ - Panamera.wav,00:19.7
Audios/raw/C7u6rtswjCU_Odhani – Made In China _ Rajkummar Rao & Mouni Roy _  Neha Kakkar & Darshan Raval _ Sachin – Jigar.wav,01:32.1
Audios/raw/jII5qoCrzYE_MJ (써니사이드) - +2kg (feat. 효빈) [Lyric Video].wav,02:01.2
Audios/raw/ORurdsjkJMQ_Huz Kai - Crush (Visualizer).wav,02:21.2
Audios/raw/lEHM9HZf0IA_Diamond Eyes - Flutter [NCS Release].wav,01:11.5
Audios/raw/ThtO-8h-qfY_Briango - Bachata de Amor  Lyrics.wav,01:24.5
Audios/raw/ngJ71Np-qFY_Orli - Internet Explorer (Prod. Amaro JNT).wav,00:31.9
Audios/raw/D9ffTk7-2aI_Base de Rap _ Boom Bap _ Agresivo _ Underground _ Freestyle Beat _ Hip Hop Instrumental.wav,00:35.9
Audios/raw/32MsxqBbe08_Merseil - Hi Marimba (Original).wav,00:12.7
Audios/raw/Gq5-cpb5f7E_Leoparte - Floodlands (2015).wav,01:12.7
Audios/raw/AoB8koE95C0_Quando Rondo - End Of Story (Official Audio).wav,01:20
Audios/raw/PYM9NUU9Roc_โอเคป่ะ (Yes or No) feat. นุช วิลาวัลย์ อาร์ สยาม  - Flame เฟลม _ Official MV.wav,02:51.1
Audios/raw/gwsaElRJI2M_Kayblack - A Cunhada (prod. Wall Hein e DJ RB).wav,00:54.3
Audios/raw/T4stQxboYKM_NASSIMA AIT AMI & YACINE YEFSAH - HUZ A YAMINA.wav,00:57.2
Audios/raw/BXTpedYsjyI_MC G15 e MC Bruninho - A Distância ta Maltratando (GR6 Filmes) DJ DG e Batidão Stronda.wav,01:04.8
Audios/raw/j9KKh215HTs_TiiwTiiw - Te amo feat Blanka & Sky (Selfie Algerian Cover).wav,02:38.4
Audios/raw/tnOuMlDUgu8_Justin Sane & Huz - It's Not Over (Official Music Video).wav,00:51.7
"Audios/raw/GUC6UqXjU44_Kamel Igman ... Ayen A Thayr iw , Slam fella wen , Huz Huz.wav",02:14.1
Audios/raw/z7y6MykrE5s_MC G15 - Eu Falei Pra Elas (KondZilla).wav,02:04.5
Audios/raw/1wpJkzCWHcI_Nancy Ajram - Oul Hansak (Official Audio) _ نانسي عجرم - قول هنساك.wav,05:03.9
Audios/raw/HwcCBnfhsR4_DAY6 'You make Me' M_V.wav,03:29.5
Audios/raw/xjt-NS8R2LA_Garcia - Anseio (Prod. Pacific).wav,01:13.7
Audios/raw/SZaZU_qi6Xc_Carole Samaha - Esma'ny (Official Music Video) _ كاروول سماحة - إسمعني - الكليب الرسمي.wav,02:16:8
Audios/raw/D6uH2mKJRUA_Huz - Curious (Original Mix).wav,01:14.8
Audios/raw/feVUoKhP1mE_Izuku - jamais vu (Clip Officiel).wav,00:24.6
Audios/raw/C90sY_Ht6Ig_Calvin Markus - Emma's Eyes ('Daredevil - Season 3 Date Announcement' Trailer Music).wav,01:43.3
Audios/raw/ht7xflC4APQ_LIL X - Think  ( prod.pluto ).wav,00:14.7
Audios/raw/xe8-Y1oVQeU_A Revolta Social “BP” ⛔ 🇧🇷 (ARS PRODUÇÕES).wav,00:15.3
Audios/raw/lYxcW8jtFw0_MC G15 - Deu Onda (KondZilla).wav,01:28.9
Audios/raw2/GQ5-Y-n_Djw_Romantic States - Jason Hatred.wav,00:14.5
Audios/raw2/XJT-fM4nBJU_Picaturi Muzicale - Prieteni la patrat.wav,01:24
Audios/raw2/9DP0yMwvyWE_Fidel Rueda - Tu Ya Eres Cosa Del Pasado.wav,02:59.3
Audios/raw2/bI8-2blisUM_Phronesis - Evergreen (Official Video).wav,02:20.8
Audios/raw2/LGX21vCbzdM_Solo Lucci 'RIP 2Pac' (WSHH Exclusive - Official Music Video).wav,01:28.9
Audios/raw2/HiPkwl5p1GY_Rutshelle Guillaume - M Pa La Ankò (Official Music Video).wav,01:56.3
Audios/raw2/yBzk2xXE9yg_RaiM & Artur feat. Zhenis - Дискотека из 90 (2018).wav,01:09.1
Audios/raw2/ZIiQ1jMqhVM_Luan Santana - MORENA (Clipe Oficial).wav,02:26.9
Audios/raw2/w1G3rqVil1s_Raul Seixas - Medo da Chuva.wav,01:54.4
Audios/raw2/HN65BuYwGMA_Jahmiel - 357 (Official Audio).wav,01:09.5
Audios/raw2/SubIr_Fyp4M_TiiwTiiw - NO ME INTERESA (Clip officiel Khosé ).wav,02:06.7
Audios/raw2/UJ5-4GiWNnc_TOSER ONE - La Ganga Ft. Coko Yamasaki (VIDEO OFICIAL).wav,01:15.3
Audios/raw2/sjlkxcwhpwA_Aşkın Odu Ciğerimi _ YUNUS EMRE Klibi.wav,00:51.9
Audios/raw2/19Q9l85Feqw_Pyar Ho - Video Song _ Munna Michael _ Tiger Shroff & Nidhhi Agerwal _ Vishal & Sunidhi.wav,02:13.6
Audios/raw2/dtOv6WvJ44w_MARIJA PAVKOVIĆ SNAŠA - KAD ODU SVI (OFFICIAL VIDEO).wav,02:25
Audios/raw2/2F8Kr91wQ0U_Kaza - 3.5.7 (Clip officiel).wav,01:36
Audios/raw2/V-ar6MLjy5o_357 - BAKLJA (originalni video) BAKLJA 2017.wav,01:10
Audios/raw2/bwQ49N0jVvE_ｙｔｒ × Romonosov - Hangover (Music Video).wav,02:14.7
Audios/raw2/spcz4MLQKD0_Huz - En Avant (feat. Bellucci).wav,00:36.1
Audios/raw2/2ul-hWVNIC0_Th eRockers_Inside Outside.wav,02:19.2
Audios/raw2/audaUMOnGxA_Thar Te Baraat (Full Video) _ Dilpreet Dhillon _ Latest Punjabi Song 2017 _ Speed Records.wav,01:35.6
Audios/raw2/0aC-jOKuBFE_'SI YO FUERA ÉL' OFICIAL 4K GRUPO JALADO.wav,02:53.4
Audios/raw2/hV-FwW1LgxU_Pyaar De _ Sunny Leone & Rajniesh Duggall _ Ankit Tiwari _ Beiimaan Love.wav,01:56.2
Audios/raw2/UGTYqTKUl8w_Rostás Tünde - Szerelmes szavaim-Official ZG Stars' video.wav,01:44.4
Audios/raw2/VLecCiNKjF0_C.E.O. - Antrax ( VIDEO OFICIAL ).wav,00:45.3
"Audios/raw3/fOYuWVIXgiM_Nai Jaana Video _ Tulsi Kumar, Sachet Tandon, Tanishk Bagchi _ Nirmaan  _ Awez D,Musskan S,Anmol.wav",03:16.2
Audios/raw3/gg5sZZPuK_o_Green71 (Dj Green) - Onajon (Official Clip).wav,01:21.1
Audios/raw3/lfy8tbM0q18_Vai Sofrer - Eder de Oliveira (OFICIAL 2014).wav,00:57.1
Audios/raw3/2JL_KcEzkqg_BƯỚC QUA ĐỜI NHAU - LÊ BẢO BÌNH [ OFFICIAL MV 4K ].wav,01:25.1
Audios/raw3/Yyvo9O8fN-A_J-AX - Via di qua (Official Video) ft. Mr. Rain.wav,01:45.5
Audios/raw3/haCay85cpvo_Cub Sport - Told You So (Official Video).wav,02:36.3
Audios/raw3/ulj-L3K_Gzs_Joey Briggs 'The Sun Will Shine' (Official Music Video).wav,02:49.1
Audios/raw3/0M24ENnb4gE_CEE OF U.K.V. IS YOU IS MUSIC VIDEO.wav,01:54.7
Audios/raw3/dCish9XM5bE_iskander- De cuando en cuando (Official Lyric Video) Previo 'De Amor y Raíces'.wav,02:00.8
Audios/raw3/v0UvOsCi8mc_ไม่เคย - 25hours「Official MV」.wav,02:55.6
