interval,memorability_score,memorability_stats
10,0.8176795580110497,296/362
11,0.8432835820895522,113/134
12,0.7757575757575758,256/330
13,0.7585227272727273,267/352
14,0.7256637168141593,82/113
15,0.7774647887323943,276/355
16,0.751578947368421,357/475
17,0.7521367521367521,88/117
19,0.7383966244725738,175/237
20,0.7117117117117117,158/222
21,0.6948775055679287,312/449
22,0.7766393442622951,379/488
23,0.75,195/260
24,0.6666666666666666,226/339
25,0.7533039647577092,171/227
26,0.6666666666666666,70/105
27,0.6067961165048543,125/206
28,0.7075664621676891,346/489
29,0.6509433962264151,69/106
30,0.6536585365853659,268/410
31,0.6666666666666666,160/240
32,0.6715328467153284,460/685
33,0.6462882096069869,148/229
35,0.6301369863013698,138/219
36,0.6579710144927536,227/345
37,0.6309859154929578,224/355
38,0.6653061224489796,163/245
40,0.728,91/125
41,0.614190687361419,277/451
42,0.5833333333333334,70/120
43,0.6068376068376068,71/117
44,0.5859375,375/640
46,0.5614035087719298,64/114
48,0.5327102803738317,114/214
49,0.6375,153/240
61,0.5688073394495413,124/218
67,0.5436893203883495,56/103
68,0.652542372881356,77/118
70,0.6324786324786325,74/117
72,0.5689655172413793,66/116
74,0.4491525423728814,53/118
78,0.5089285714285714,57/112
83,0.46875,105/224
84,0.5458515283842795,125/229
88,0.5829787234042553,137/235
90,0.5833333333333334,70/120
91,0.4260869565217391,49/115
98,0.5592705167173252,184/329
99,0.5486725663716814,62/113
100,0.47115384615384615,49/104
103,0.5365853658536586,66/123
104,0.6071428571428571,68/112
107,0.6376811594202898,220/345
111,0.6229508196721312,76/122
115,0.6528925619834711,79/121
116,0.5309734513274337,120/226
119,0.5614035087719298,128/228
121,0.5420560747663551,58/107
124,0.6120689655172413,71/116
125,0.7744360902255639,103/133
127,0.3883495145631068,40/103
129,0.813953488372093,105/129
130,0.4326923076923077,45/104
131,0.6478494623655914,241/372
155,0.6111111111111112,66/108
168,0.4482758620689655,52/116
185,0.5126050420168067,122/238
189,0.48598130841121495,52/107
194,0.5929203539823009,67/113
195,0.5384615384615384,63/117
205,0.5765765765765766,64/111
216,0.5514018691588785,59/107
220,0.5299145299145299,62/117
227,0.5555555555555556,65/117
231,0.546875,70/128
239,0.6532258064516129,81/124
244,0.5871559633027523,64/109
252,0.6538461538461539,85/130
254,0.6692307692307692,87/130
258,0.6422764227642277,79/123
272,0.5675675675675675,63/111
276,0.5441860465116279,117/215
