track,repeat_interval:memorized
normalize_5s_intro_thc1MtNagC8.wav,"[{32: 1}, {13: 0}, {28: 0}, {48: 0}, {17: 1}, {107: 0}, {26: 1}, {24: 1}, {29: 0}, {31: 1}, {115: 1}, {155: 1}, {21: 1}, {98: 1}, {131: 1}, {36: 1}, {231: 0}, {276: 1}, {131: 1}, {68: 1}, {49: 1}, {48: 1}, {21: 0}, {239: 1}, {49: 1}, {41: 0}, {131: 0}, {31: 1}, {20: 1}, {20: 1}, {48: 0}, {21: 1}, {205: 1}, {23: 0}, {16: 1}]"
normalize_5s_intro_Wo2qUD1g7xM.wav,"[{44: 1}, {16: 1}, {35: 0}, {104: 1}, {32: 1}, {68: 0}, {24: 0}, {22: 1}, {10: 1}, {16: 1}, {22: 1}, {252: 1}, {17: 1}, {36: 0}, {10: 1}, {28: 1}, {12: 1}, {31: 1}, {13: 1}, {27: 0}, {227: 0}, {115: 0}, {22: 1}, {26: 1}, {24: 1}, {22: 0}, {195: 0}, {254: 1}, {15: 1}, {254: 0}, {195: 0}, {41: 1}, {98: 1}, {32: 1}, {37: 1}, {125: 1}, {16: 1}, {131: 1}, {10: 0}, {98: 1}, {130: 0}, {49: 1}, {10: 1}, {22: 0}, {244: 0}, {119: 1}, {20: 1}, {32: 1}, {35: 1}, {28: 1}, {98: 0}, {84: 1}, {78: 1}, {205: 0}, {32: 1}, {91: 0}, {46: 1}, {12: 1}, {41: 0}, {28: 1}, {41: 0}, {13: 1}, {15: 0}, {12: 1}, {125: 1}, {185: 0}]"
normalize_5s_intro_3ObVN3QQiZ8.wav,"[{44: 0}, {74: 1}, {272: 1}, {25: 0}, {10: 1}, {37: 0}, {21: 0}, {49: 0}, {38: 1}, {37: 0}, {107: 1}, {24: 0}, {72: 1}, {98: 0}, {98: 0}, {22: 0}, {111: 1}, {83: 1}, {38: 1}, {107: 1}, {100: 0}, {16: 1}, {131: 1}, {98: 0}, {83: 0}, {30: 0}, {103: 1}, {35: 0}, {40: 1}, {38: 1}, {32: 1}, {258: 0}, {20: 0}, {15: 1}, {42: 0}, {35: 0}, {22: 1}, {125: 0}, {21: 1}, {12: 1}, {36: 1}, {35: 0}, {116: 0}, {44: 1}, {130: 1}, {231: 0}, {12: 0}, {168: 1}, {72: 0}, {131: 1}, {30: 1}, {30: 0}, {13: 0}, {15: 0}, {74: 0}, {129: 0}, {37: 0}, {12: 1}, {22: 0}, {15: 1}, {98: 0}, {72: 0}, {130: 0}, {72: 0}, {32: 1}, {185: 0}, {107: 1}, {124: 0}, {27: 0}, {61: 1}, {26: 1}, {17: 0}, {25: 1}, {33: 0}, {19: 0}, {195: 1}, {26: 1}, {22: 0}]"
normalize_5s_intro_S-zQJFRX5Fg.wav,"[{216: 1}, {107: 1}, {23: 1}, {27: 1}, {12: 1}, {12: 1}, {104: 1}, {252: 1}, {22: 1}, {10: 1}, {131: 0}, {121: 0}, {216: 0}, {244: 1}, {36: 1}, {15: 1}, {10: 1}, {41: 1}, {125: 1}, {16: 1}, {24: 1}, {227: 0}, {36: 1}, {98: 1}, {74: 1}, {48: 1}, {27: 1}, {194: 0}, {227: 1}, {131: 1}, {107: 0}, {88: 1}, {17: 1}, {21: 1}, {276: 0}, {23: 1}, {121: 1}, {15: 1}, {10: 1}, {98: 1}, {24: 1}, {38: 1}, {46: 1}, {37: 0}, {276: 1}, {84: 1}, {239: 1}, {195: 1}, {88: 1}, {44: 1}, {16: 1}, {30: 1}, {185: 1}, {276: 1}, {19: 1}, {119: 1}, {155: 1}, {10: 1}, {41: 1}, {276: 0}, {41: 1}, {49: 1}, {111: 1}, {91: 1}, {13: 1}, {49: 1}, {116: 1}, {98: 1}, {32: 1}, {44: 1}, {116: 1}, {107: 1}, {27: 1}, {20: 1}, {13: 1}, {44: 1}]"
normalize_5s_intro_SyZOAgXiPMw.wav,"[{43: 1}, {21: 0}, {116: 0}, {254: 1}, {37: 1}, {19: 1}, {116: 0}, {41: 1}, {88: 0}, {25: 1}, {30: 1}, {44: 0}, {107: 0}, {194: 0}, {40: 0}, {72: 0}, {131: 0}, {48: 1}, {10: 1}, {84: 0}, {23: 0}, {11: 1}, {44: 0}, {99: 0}, {26: 1}, {98: 0}, {13: 0}, {83: 0}, {272: 0}, {22: 0}, {16: 0}, {48: 0}, {36: 1}, {36: 1}, {19: 1}, {185: 0}, {36: 1}, {254: 0}, {10: 0}, {231: 0}, {107: 0}, {116: 0}, {38: 0}, {205: 0}, {36: 0}, {31: 0}, {107: 1}, {35: 1}, {21: 0}, {83: 0}, {22: 0}, {43: 0}, {25: 0}, {30: 1}, {10: 1}, {44: 0}, {16: 0}, {130: 0}, {41: 1}, {239: 0}, {119: 0}, {74: 0}, {27: 1}, {107: 0}, {27: 0}, {185: 0}, {19: 0}, {40: 0}, {70: 0}, {32: 0}, {254: 0}, {49: 1}, {31: 0}, {72: 1}, {83: 1}, {44: 0}, {36: 1}, {32: 0}, {115: 0}, {12: 1}, {40: 1}, {119: 0}, {244: 0}]"
normalize_5s_intro_GQT8ejgV2_A.wav,"[{32: 0}, {35: 0}, {74: 1}, {28: 1}, {155: 1}, {119: 1}, {90: 0}, {189: 1}, {44: 1}, {26: 0}, {24: 1}, {48: 1}, {21: 1}, {131: 0}, {231: 1}, {27: 1}, {67: 1}, {21: 1}, {21: 1}, {29: 1}, {168: 0}, {88: 1}, {21: 0}, {23: 1}, {107: 1}, {116: 1}, {125: 1}, {37: 1}, {25: 1}, {42: 0}, {88: 1}, {33: 1}, {23: 1}, {90: 1}, {16: 1}, {44: 1}, {23: 1}, {22: 1}, {36: 1}, {98: 1}, {40: 1}, {111: 1}, {28: 1}, {90: 0}, {84: 1}, {25: 1}, {44: 1}, {98: 1}, {127: 0}, {28: 0}, {127: 1}, {17: 0}, {31: 1}, {20: 1}, {37: 1}, {185: 1}, {30: 0}, {20: 1}, {21: 1}, {25: 1}, {30: 1}]"
normalize_5s_intro_PQAIxeSIQU4.wav,"[{22: 1}, {36: 1}, {32: 1}, {32: 1}, {37: 1}, {30: 0}, {10: 1}, {19: 1}, {84: 1}, {103: 0}, {216: 0}, {119: 0}, {38: 1}, {48: 1}, {24: 1}, {98: 1}, {15: 1}, {61: 0}, {19: 1}, {107: 0}, {131: 0}, {32: 1}, {19: 1}, {41: 1}, {38: 1}, {16: 1}, {37: 0}, {15: 1}, {32: 1}, {116: 1}, {239: 1}, {125: 1}, {13: 1}, {16: 1}, {44: 0}, {131: 1}, {22: 0}, {103: 1}, {20: 0}, {49: 0}, {46: 1}, {44: 0}, {127: 1}, {22: 1}, {23: 1}, {27: 0}, {127: 1}, {24: 1}, {49: 1}, {10: 1}, {252: 1}, {104: 0}, {83: 1}, {83: 0}, {61: 1}, {10: 1}, {13: 0}, {28: 1}]"
normalize_5s_intro_E-8pyVBvCPQ.wav,"[{44: 1}, {36: 0}, {32: 1}, {244: 1}, {15: 1}, {13: 0}, {127: 1}, {194: 1}, {28: 1}, {44: 1}, {131: 1}, {83: 0}, {67: 0}, {98: 1}, {21: 1}, {42: 1}, {131: 1}, {28: 1}, {16: 1}, {42: 1}, {11: 0}, {131: 1}, {10: 1}, {195: 0}, {276: 0}, {194: 1}, {90: 0}, {44: 0}, {27: 1}, {16: 0}, {104: 1}, {13: 1}, {16: 1}, {25: 0}, {107: 1}, {16: 1}, {22: 1}, {48: 1}, {20: 1}, {27: 0}, {37: 1}, {83: 1}, {44: 1}, {189: 1}, {125: 1}, {78: 1}, {116: 0}, {41: 1}, {99: 1}, {32: 1}, {254: 1}, {67: 1}, {30: 0}, {28: 1}, {100: 1}, {41: 0}, {25: 1}, {32: 1}, {30: 1}, {61: 1}, {13: 1}, {28: 0}, {21: 1}, {239: 1}, {127: 1}, {21: 1}, {11: 0}, {36: 1}]"
normalize_5s_intro_Qr8eZSVaw10.wav,"[{129: 0}, {129: 1}, {98: 0}, {48: 0}, {38: 0}, {155: 0}, {22: 1}, {88: 0}, {254: 0}, {78: 1}, {44: 1}, {48: 0}, {72: 0}, {25: 1}, {15: 1}, {36: 0}, {16: 0}, {22: 1}, {32: 1}, {41: 0}, {30: 1}, {22: 1}, {84: 0}, {21: 0}, {37: 1}, {74: 0}, {16: 1}, {43: 0}, {22: 1}, {68: 1}, {48: 0}, {155: 0}, {37: 0}, {30: 0}, {44: 0}, {28: 1}, {32: 1}, {13: 1}, {20: 0}, {16: 0}, {21: 1}, {239: 1}, {36: 0}, {16: 1}, {21: 0}, {115: 0}, {220: 0}, {27: 0}, {74: 0}, {13: 1}, {37: 0}, {43: 0}, {195: 0}, {44: 1}, {84: 0}, {168: 0}, {68: 1}, {48: 0}, {13: 1}, {185: 0}, {33: 0}, {98: 0}, {107: 1}, {15: 0}, {252: 1}, {32: 1}, {37: 0}]"
normalize_5s_intro_p7j-tz1Cn4o.wav,"[{103: 1}, {13: 0}, {32: 0}, {22: 1}, {22: 1}, {16: 1}, {189: 0}, {100: 0}, {41: 1}, {32: 1}, {72: 0}, {252: 1}, {48: 1}, {42: 1}, {49: 1}, {130: 0}, {15: 1}, {168: 0}, {28: 0}, {252: 0}, {24: 0}, {83: 0}, {30: 1}, {32: 1}, {119: 0}, {38: 1}, {22: 1}, {116: 0}, {103: 1}, {36: 1}, {131: 1}, {99: 0}, {44: 1}, {12: 1}, {239: 0}, {21: 1}, {35: 0}, {116: 0}, {32: 1}, {131: 0}, {127: 0}, {13: 1}, {124: 0}, {258: 0}, {27: 1}, {21: 0}, {88: 1}, {41: 0}, {20: 1}, {49: 1}, {16: 0}, {130: 1}, {22: 1}, {239: 1}, {119: 1}, {15: 1}, {107: 1}, {127: 0}, {68: 0}, {40: 1}, {48: 0}, {14: 0}, {21: 1}, {32: 1}, {49: 0}, {272: 0}, {21: 1}, {49: 1}, {15: 1}, {21: 1}, {31: 1}, {23: 1}, {98: 1}]"
