track,speedup
normalize_5s_intro_S_-qkv0NZ1g.wav,1.7
normalize_5s_intro_D4nWzd63jV4.wav,1.14
normalize_5s_intro_sjlkxcwhpwA.wav,0.88
normalize_5s_intro_bI8-2blisUM.wav,1.66
normalize_5s_intro_jII5qoCrzYE.wav,1.04
normalize_5s_intro_BEo0rqOZIng.wav,1.26
normalize_5s_intro_nn5nypm7GG8.wav,1.68
normalize_5s_intro_2AWE9tqnDPw.wav,1.08
normalize_5s_intro_DyQ_9p6y89c.wav,0.9
normalize_5s_intro_2UL-1MOlSPw.wav,0.84
normalize_5s_intro_Ib7m3Qh-4O4.wav,1.2
normalize_5s_intro_Tfypj4UwvvA.wav,1.6
normalize_5s_intro_4F1wvsJXXVY.wav,1
normalize_5s_intro_V-ar6MLjy5o.wav,1.42
normalize_5s_intro_WJs-_T8I74Y.wav,1.14
normalize_5s_intro_a8cJLohQ_Jg.wav,1.34
normalize_5s_intro_Yh78Ll6-ODQ.wav,1.02
normalize_5s_intro_XBTT9tSVsh0.wav,1.06
normalize_5s_intro_RoeRU5zxkak.wav,1.06
normalize_5s_intro_RCJx5VW-fQI.wav,1.18
normalize_5s_intro_6pARjpdqxYQ.wav,1.26
normalize_5s_intro_uUfPwlxFFJM.wav,1.34
normalize_5s_intro_S2RnxiNJg0M.wav,1.76
normalize_5s_intro_Srp0opA8V8o.wav,1
normalize_5s_intro_tEW2eRQ-4DY.wav,1.36
normalize_5s_intro_gFnNr5vr5bQ.wav,1.2
normalize_5s_intro_9nWpMZFrbvI.wav,1.04
normalize_5s_intro_p7j-tz1Cn4o.wav,1.32
normalize_5s_intro_xePw8n4xu8o.wav,0.96
normalize_5s_intro_JQTlG7NxJek.wav,0.78
normalize_5s_intro_xhmtXrtLkgo.wav,0.96
normalize_5s_intro_vMcFA2x23FE.wav,1.08
normalize_5s_intro_Jtv4satRsP0.wav,1.44
normalize_5s_intro_1CrxzClzLvs.wav,1.42
normalize_5s_intro_C90sY_Ht6Ig.wav,1.62
normalize_5s_intro_n4HTXYR-2AI.wav,1.38
normalize_5s_intro_1lunUbvf35M.wav,1.38
normalize_5s_intro_dtOv6WvJ44w.wav,0.9
normalize_5s_intro_agKkcRXN2iE.wav,1.22
normalize_5s_intro_ulj-L3K_Gzs.wav,0.94
normalize_5s_intro_feVUoKhP1mE.wav,1.88
normalize_5s_intro_TFv9Kcym9dg.wav,1.58
normalize_5s_intro_R1T_SrdQGH8.wav,1
normalize_5s_intro_GIulOhzXufc.wav,1.4
normalize_5s_intro_XJT-fM4nBJU.wav,1.18
normalize_5s_intro_4wgo8K28RNM.wav,1.46
normalize_5s_intro_3DCHLwOqtJs.wav,1.4
normalize_5s_intro_EygNk739nnY.wav,1.03
normalize_5s_intro_GQT8ejgV2_A.wav,1.16
normalize_5s_intro_sY5wXfgspQI.wav,1.18
normalize_5s_intro_EH1OEWJ9C5w.wav,1.5
normalize_5s_intro_1kN-34GFMYM.wav,1.2
normalize_5s_intro_XgwqnGG-pbI.wav,1.22
normalize_5s_intro_OMR2W-7AyYU.wav,1.38
normalize_5s_intro_DGsoqhIUgDQ.wav,1.04
normalize_5s_intro_mYa_9d2Daas.wav,1.44
normalize_5s_intro_VVRszjvg3_U.wav,1.28
normalize_5s_intro_RHGfkuJv0j0.wav,0.92
normalize_5s_intro_haCay85cpvo.wav,1.18
normalize_5s_intro_xT1eOeXlTXg.wav,1.34
normalize_5s_intro_xc0sWhVhmkw.wav,0.98
normalize_5s_intro_oQ0O2cd1T04.wav,1.18
normalize_5s_intro_bwQ49N0jVvE.wav,1.08
normalize_5s_intro_xqzOxMdhmzU.wav,1
normalize_5s_intro_nISI4qF55F4.wav,1.02
normalize_5s_intro_S-zQJFRX5Fg.wav,1.42
normalize_5s_intro_xQOXxmznGPg.wav,1.3
normalize_5s_intro_VlWs8ey2nyg.wav,1.06
normalize_5s_intro_C5VCGM2J5ls.wav,1.62
normalize_5s_intro_4jvQFLlRQlo.wav,1.3
normalize_5s_intro_qAiwzv8N7rM.wav,1.9
normalize_5s_intro_wcLXjQLwSBE.wav,1.32
normalize_5s_intro_SgJMnEdtTXA.wav,1
normalize_5s_intro_7zz-nEVKZdc.wav,1.12
normalize_5s_intro_aIJuCcGFJkc.wav,1.06
normalize_5s_intro_ytq5pGcM77w.wav,0.96
normalize_5s_intro_wAJMhJpSCIc.wav,1.38
normalize_5s_intro_STpRa2JPFA0.wav,1.02
normalize_5s_intro_7E_a_VKjcl8.wav,0.98
normalize_5s_intro_TzhhbYS9EO4.wav,1.06
normalize_5s_intro_IrtcCSE2bVY.wav,1.06
normalize_5s_intro_hHItMz0gfaU.wav,1
normalize_5s_intro_v2seHL0pwbg.wav,1.12
normalize_5s_intro_Js2JQH_kt0I.wav,1.1
normalize_5s_intro_-MqZKMbOYEA.wav,1.64
normalize_5s_intro_0QN9KLFWn7I.wav,1.38
normalize_5s_intro_UGTYqTKUl8w.wav,1.06
normalize_5s_intro_IN1f9k8qVDk.wav,1.04
normalize_5s_intro_gue_crpFdSE.wav,0.92
normalize_5s_intro_5FYAICvv-d0.wav,0.76
normalize_5s_intro_RLMl1umHgp0.wav,0.98
normalize_5s_intro_zyQkFh-E4Ak.wav,1.12
normalize_5s_intro_WrRAZVJGImw.wav,1.04
normalize_5s_intro_SCBxmcwmX7U.wav,1.24
normalize_5s_intro_9odM1BRqop4.wav,1.26
normalize_5s_intro_PQAIxeSIQU4.wav,1.6
normalize_5s_intro_SyZOAgXiPMw.wav,0.98
normalize_5s_intro_7LuQQP-DAoc.wav,0.96
normalize_5s_intro_oxKbrl4kyg8.wav,1.56
normalize_5s_intro_hed6HkYNA7g.wav,1.56
normalize_5s_intro_O2q_9lBDM7I.wav,1.24
normalize_5s_intro_FhvXg70ycrM.wav,1.34
normalize_5s_intro_Z5gvqq3ChII.wav,1.1
normalize_5s_intro_1wpJkzCWHcI.wav,1.2
normalize_5s_intro_GphIn74Weu0.wav,1.68
normalize_5s_intro_TnsOVDCq_b0.wav,1.5
normalize_5s_intro_HiPkwl5p1GY.wav,1.14
normalize_5s_intro_2F8Kr91wQ0U.wav,1.06
normalize_5s_intro_SQBuVfTX1ME.wav,1.26
normalize_5s_intro_gDevCxVY_wA.wav,1.42
normalize_5s_intro_tXvpe2GbUec.wav,1.34
normalize_5s_intro_lE_747E_Sdg.wav,1.36
normalize_5s_intro_aQ06TfyA1Ks.wav,1.64
normalize_5s_intro_0aC-jOKuBFE.wav,1.18
normalize_5s_intro_j3DigipQ_hQ.wav,1.08
normalize_5s_intro_7ZgPGMfUVek.wav,1.42
normalize_5s_intro_rWznOAwxM1g.wav,1.16
normalize_5s_intro_E-8pyVBvCPQ.wav,1.34
